,id,author.name,text,created_at,protest,tweet_type,predicted_label,score
67060,1596465159127846912,Jürgen,"Die Debatte um die #LetzteGeneration ist völlig aus dem Ruder gelaufen. Blockieren wie am #BER ist gesetzeswidrig und kann gefährlich sein, ja. Aber ziviler Ungehorsam ist weder verfassungsfeindlich noch terroristisch. (1/2)",2022-11-26,lastgen,retweet,offensive,0.8964893817901611
21241,1540271664692428801,Evelyn Acham,Green washing is a climate killer end fossil fuel production. We cannot adopt to loss and damage @Riseupmovt \n#FridaysForFuture https://t.co/mEFBnNEUFD,2022-06-24,fff,retweet,offensive,0.7556858062744141
75077,1592853018113765377,JoJostsee,"Krass, wie haushoch @AimeevanBaalen, die Sprecherin von @AufstandLastGen, einem etablierten Politiker wie @MarkusBlume (noch dazu Wissenschaftsminister in Bayern) argumentativ überlegen ist.\n#ClimateActionNow\n#ClimateJustice \n#maischberger https://t.co/Qvs4uhT05l",2022-11-16,lastgen,retweet,offensive,0.9594562649726868
93471,1584233303460040706,Mülli,"""Die Gesellschaft"" hält Euch nur leider für ziemlich nervig. \nIch brauche niemanden, der sich irgendwo hinklebt, um die Dringlichkeit des Problems zu verstehen. Ein großer Teil der Gesellschaft wird von Euch eher zu Gegnern des Klimaschutzes, so dämlich es ist. https://t.co/ZhRr5Q4oeW",2022-10-23,lastgen,quote,offensive,0.9346287250518799
62128,1599897696030101504,Stefan Brandes 🌻,"Krass:\nEs scheint, als wurden Rettungskräfte von der Berliner Innensenatorin instrumentalisiert!\n\nSollte wirklich nur das erfasst werden, was politisch zur eigenen Erzählung passt?! Unglaublich!\n\n#Klimakrise #LetzteGeneration https://t.co/6gtgqrkh4q",2022-12-05,lastgen,retweet,offensive,0.9750066995620728
63200,1599707192114184194,Chrisman,"@AufstandLastGen Weshalb Ihr eine (Weltuntergangs-)Sekte seid? Weil Ihr Euch in scheinreligiösem Wahn einbildet, die einzig Wissenden zu sein, die die einzige Wahrheit verkünden wollen und nichts anderes akzeptieren. #wahnwichtel #weltuntergangssekte #kilaRAF #Uhutrottel #klimaterror",2022-12-05,lastgen,reply,offensive,0.5534934401512146
73263,1593621961741139968,Bundescanceler ✪,"@VlkrDhr @AufstandLastGen @ClimateHuman @ScientistRebel1 @StayGroundedNet @ambodenbleiben @JustStop_Oil @a22network @UltimaGenerazi1 @letztegenAT Logo! Aber, krass, dass Dein Handle noch frei war... :)",2022-11-18,lastgen,reply,offensive,0.5430737137794495
97227,1577159025082322945,meimer stephanie,@AufstandLastGen umweltverschmutzer!,2022-10-04,lastgen,reply,offensive,0.579071044921875
8570,1574413244390948867,Alex Wolf,"Irre. HG Maaßen hat allen Ernstes erklärt, er befände die Klimabewegung für faschistisch, der Wissenschaftschef der @welt verbreitet derweil haltlose Thesen über russisches Geld hinter #FridaysForFuture.\n\nDas sind keine kruden Meinungen. Das ist Stimmungsmache, und SO gefährlich.",2022-09-26,fff,retweet,offensive,0.7784373760223389
38233,1497895385985171459,Llewelyn Pritchard MA,@SISeneviratne @Peters_Glen @AarneGranlund https://t.co/WvxCsrkVyW  'Digging out' Rotten Roots of Government Mismanagement Canada in our climate crisis. #TrudeauHidesAndLies https://t.co/kbMU9G7nCT #TrudeauOutOfFirstNations #PutinOutOfUkraine #PutinLies #JohnsonLies #PeopleDie #EndSARS #FridaysForFuture #JohnsonOut33,2022-02-27,fff,reply,offensive,0.6840353012084961
54907,1602916790128238604,iLja,"Die Kriminalisierung der Klimabewegung geht weiter. Unsere Solidarität mit den Betroffenen der Hausdurchsuchungen, in den Knästen und allen, die wegen ihrem Kampf für eine bessere und klimagerechte Welt von Repression getroffen werden. https://t.co/FizMhzQugR",2022-12-14,lastgen,retweet,offensive,0.5828242897987366
65957,1596956011889577984,Klimakatastrophe,@talerwaechter @ulfposh @AufstandLastGen @rbb24 @FranziskaHoppen „WIR“ = Menschheit. Jeder Mensch emittiert CO2 und schadet damit dem Klima..,2022-11-27,lastgen,reply,offensive,0.5420761704444885
17796,1553080571672264705,Sandi Walters,"Recent #oceanwarming poses greater ecological threat - a study shows how dire #climatechange and resulting #heatwaves are, wreaking havoc on kelp forests, the diverse array of inhabitants of these forests, and the rest of the #ocean.  #WetTribe #TidetotheOcean #FridaysforFuture https://t.co/kdgWA1lyE2",2022-07-29,fff,retweet,offensive,0.5101280808448792
1848,1599004875437678593,AbolishGQP 🇺🇸🙏🇺🇦🕯,"@TribalIdeas What could you do when a job perk turns into a trap? Emily falls in love and then fights back for life, water, and rights. #sciencefiction #trilogy #darkromance #erotic #furries #femdom #FridaysForFuture #books #scifireads https://t.co/sMbrVAUNAE https://t.co/mtqMKSEYnD",2022-12-03,fff,retweet,offensive,0.5785502791404724
115365,1495011608149512198,Viktor AUGSTEIN,"Essenretter festgenommen❗️ Wann handelt die #Bundesregierung?\nBeim Verschenken von „Diebesgut“ wurde unser Sprecher Tobias heut in #Freiburg festgenommen. \nFestnahme wegen #EssenRetten!? Es ist kriminell, dass genießbares Essen immer noch weggeworfen wird!\nhttps://t.co/h7bzUGkgla",2022-02-19,lastgen,retweet,offensive,0.9117689728736877
41109,1489635965333385217,KlimatSverige,"School strike week 181 in Jokkmokk to protest against the proposed mine in Gállok. This mine would be devastating for  climate, environment and indigenous rights. Sweden must end the colonisation of Sápmi!\n#FridaysForFuture #PeopleNotProfit #NoMineInGállok #StandWithSápmi https://t.co/Dz2E2Q4gGz",2022-02-04,fff,retweet,offensive,0.638979971408844
75268,1592814520527106049,Lady Liberty 🗽,"@maischberger @AufstandLastGen @AimeevanBaalen @DasErste Meine Güte, was für ein Blödsinn",2022-11-16,lastgen,reply,offensive,0.7582182288169861
78048,1591090221940346881,isj,"Natürlich ist es eine Weltuntergangssekte, Sie Hohlkopf. Würde sie sich sonst „Letzte Generation“ nennen?",2022-11-11,lastgen,retweet,offensive,0.6836815476417542
4318,1588521311323975685,SAN 🌍 #FreeLina 🦘🤜🤛🏾,"""Und immer dann wenn einer nimmt von Menschen die kaum etwas haben \n...\nist das ein Fuck you an die Kinder dieser Menschen das sagt: unser Geld ist wichtiger als ihr""\n\nMaike Rosa Vogel \n\nhttps://t.co/SEb9z67rWC\n\n#FridaysForFuture #genugistgenug\n#IchBinArmutsbetroffen",2022-11-04,fff,retweet,offensive,0.5698341131210327
117692,1488574571624153094,danzil,"Ihr seid nicht die #letztegeneration \n\nIhr seid einfache Straftäter, die Leuten auf ihrem Weg zur Arbeit und in ihrem Alltag auf die Nerven gehen. \n\nIhr seid #dasLetztedieserGeneration",2022-02-01,lastgen,retweet,offensive,0.830727219581604
