,id,author.name,text,created_at,protest,tweet_type,replies,retweets,quotes,likes,predicted_label,score
83695,1588655378623238146,Luca,@Andre123456769 @AufstandLastGen Achso und das sollte einer Partei wie die Grünen!! Die angeblich gegen den Krieg sind die größten Kriegstreiber überhaupt sind und alles schlimmer machen? Top und echt peinlich dieser traurigen Partei,2022-11-04,lastgen,reply,1,0,0,0,offensive,0.8653957843780518
37778,1499011265972293636,Meik Bodo,@AfD_FraktionNRW Dummdödel Nummer zwei \n \nDie #AFD macht doch die Fridays for Future und Greta immer Rund wie ein Lenkrad. Diese Heuchelei ist doch zum Haare raufen. https://t.co/0OF1bxmqP8,2022-03-02,fff,reply,0,0,0,0,offensive,0.8426083922386169
1902,1598798282670878720,Richard Weiner,"Climate strike Bergen, Norway. #FridaysForFuture #ClimateJustice @fff_bergen https://t.co/XyGFjdMch7 https://t.co/4DTZbiWjKb",2022-12-02,fff,retweet,84,227,15,1098,offensive,0.7477508187294006
74694,1592959814220787712,Look beyond the squirrel 🐿,"@mweiss_tue @AimeevanBaalen @AufstandLastGen @MarkusBlume Etwas bedenklich wie Maischberger als Journalistin auf ein Thema vorbereitet sollte, aber nicht über Umfragen zu „Just stop oil“ informiert ist &amp; Frau von Baalen dann auch noch falsch verbessern will mit „Hans Alt“ https://t.co/qT6XvzmYFC",2022-11-16,lastgen,reply,0,0,0,1,offensive,0.6791535019874573
74954,1592886057905049602,🔴SaBerlin😷♥️🖤 🇺🇦,"👮‍♀️Lindner von Polizei abgeführt!👮‍♀️\n\nDenn die gefährliche Blockadehaltung der FDP im Klimaschutz ist ein Verbrechen an all denen, die ihr Leben bereits verlieren und noch verlieren werden. https://t.co/WkER4ugZ8R",2022-11-16,lastgen,retweet,263,100,61,721,offensive,0.8711222410202026
94484,1582997010365710336,Ministry Of Truth,"@AufstandLastGen Ihr seid sehr fleißig in Social Media. Durch Eure Aktivitäten im Netz produziert Ihr mehr CO2, als Ihr mit Euren Unterstützungsaktionen für die Kleberindustrie sparen wollt. #Bigotterie allererster Güte https://t.co/N0QNbowKnI",2022-10-20,lastgen,quote,1,1,1,2,offensive,0.7678735256195068
33879,1506963857234874370,EJ🐙,"Das. Das bittere ist,dass sie sich jetzt symbolisch an #Dreadlocks abarbeiten &amp; mit dem Finger (pflichtbewusst) drauf zeigen können, statt ihre eigenen Rassismen aufzuarbeiten, auf die vermutlich intern auch @BIPoCsforFuture aufmerksam machen wollen. #FridaysForFuture https://t.co/jsnvH2JTR9",2022-03-24,fff,retweet,2,9,1,79,offensive,0.711349606513977
72911,1593808710161559552,harmon stinger,"@AufstandLastGen @Afelia @Storchfuss Die Frechheit dieser Leute ist unfassbar. \nGingen sie laut protestierend vor dem Bundestag auf &amp; ab, wäre das ok, aber völlig Unbeteiligte so zu blockieren (nötigen), dass sogar Einsatzkräfte kein Durchkommen haben, ist ungeheuerlich &amp; MUSS mit aller Härte bestraft werden.",2022-11-19,lastgen,reply,0,0,0,0,offensive,0.9775092005729675
69714,1595853920483565570,Internationaler Presse - und Literatur Club,#LetzteGeneration \n#Klimaterroristen \nKeine Notwehr\nRollfeld\n#BER \n#Flughafen #Berlin\n\nhttps://t.co/HpkxDS8KXf,2022-11-24,lastgen,original,0,2,0,3,offensive,0.6386814713478088
112030,1516762092254253064,"Cogito, ergo .......","Jeder Tag, an dem sich die Innenministerin nicht ganz deutlich gegen @AufstandLastGen stellt, ist kein guter Tag im Kampf gegen Extremismus. Das Schweigen ist ein Bärendienst.",2022-04-20,lastgen,retweet,40,107,7,1143,offensive,0.5404909253120422
111992,1516845383586041866,👀🐭🇮🇹,"Jeder Tag, an dem sich die Innenministerin nicht ganz deutlich gegen @AufstandLastGen stellt, ist kein guter Tag im Kampf gegen Extremismus. Das Schweigen ist ein Bärendienst.",2022-04-20,lastgen,retweet,40,107,7,1143,offensive,0.5404909253120422
111828,1517402302075785216,Ralf Tischler,@ScientistRebel1 @AufstandLastGen Gudula braucht einen Psychologen 🙃,2022-04-22,lastgen,reply,0,0,0,5,offensive,0.5549172163009644
2901,1593700875138203648,Jyoti 🦜😺 WatchDominion.com 🐷🐔🐶Go Vegan🐱🐭🐰🐯🐸🐵🦁🐮🐻🦉🐴,@BahandagiraD @vanessa_vash @Fridays4future @GretaThunberg @FFFMAPA @France24_en go #Vegan for #ClimateAction #ClimateCrisis #TogetherForImplementation #COP27\n\nConsuming #Animal #Slaughter products during #Climate #Emergency is #hypocrisy\n\nhttps://t.co/Y6uFkkFUcx\n\n#FridaysForFuture #G20,2022-11-18,fff,quote,0,0,0,0,offensive,0.7858740091323853
71862,1594659024166961154,S. Lehmann,"@AufstandLastGen @SciReb_Germany @EndFossilBerlin @endfossil @Debt4ClimateDE @AlleDoerfer @ausgeCO2hlt @FfF_Magdeburg @ZDFmagdeburg @spd_lt_lsa @MWU_LSA Elon !!!! würdest Du bitte diesen ACC sperren, danke",2022-11-21,lastgen,reply,0,0,0,0,offensive,0.5292308926582336
78883,1590708624326004737,Reepa,"@AufstandLastGen Leute, gebt es auf, Ihr macht Euch noch lächerlicher, als Ihr es mit Eurer strunzdoofen Ankleberei ohnehin schon getan habt…es wird langsam peinlich und sollte irgendwann wirklich mal bestraft werden, damit Ihr von Eurem Trip mal runterkommt https://t.co/8tH80ksS9o",2022-11-10,lastgen,reply,0,0,0,1,offensive,0.8881410956382751
